"ensembl_gene_id","external_gene_name","description","gene_biotype","chromosome_name","start_position","end_position"
"FBgn0032478","Rsph1","Radial spoke head protein 1","protein_coding","2L",13183450,13184875
"FBgn0032479","CG16974","","protein_coding","2L",13183849,13191979
"FBgn0262682","asRNA:CR43152","antisense RNA:CR43152","ncRNA","X",12973825,12974615
"FBgn0032477","Alg7","Alg7 dolichyl-phosphate N-acetylglucosaminephosphotransferase","protein_coding","2L",13179247,13183495
"FBgn0032474","DnaJ-H","DnaJ homolog","protein_coding","2L",13163209,13166072
"FBgn0032475","Sfmbt","Scm-related gene containing four mbt domains","protein_coding","2L",13169649,13176785
"FBgn0262686","CG43156","","protein_coding","X",11906452,11906868
"FBgn0032473","kmg","kumgang","protein_coding","2L",13160527,13163153
"FBgn0039350","jigr1","jing interacting gene regulatory 1","protein_coding","3R",25637843,25651874
"FBgn0032471","CG5122","","protein_coding","2L",13130591,13134804
"FBgn0025355","SuUR","Suppressor of Under-Replication","protein_coding","3L",11064991,11069025
"FBgn0086898","dgo","diego","protein_coding","2R",10816037,10819884
"FBgn0086895","pea","peanuts","protein_coding","2R",14153153,14157106
"FBgn0011888","tRNA:Lys-CTT-1-3","transfer RNA:Lysine-CTT 1-3","tRNA","2R",6164876,6164948
"FBgn0011889","tRNA:Lys-CTT-1-2","transfer RNA:Lysine-CTT 1-2","tRNA","2R",6162681,6162753
"FBgn0011880","tRNA:Ile-AAT-1-1","transfer RNA:Isoleucine-AAT 1-1","tRNA","2R",6166151,6166224
"FBgn0011881","tRNA:Ile-AAT-1-3","transfer RNA:Isoleucine-AAT 1-3","tRNA","2R",13430282,13430355
"FBgn0011882","tRNA:Ile-AAT-1-4","transfer RNA:Isoleucine-AAT 1-4","tRNA","2R",13430984,13431057
"FBgn0011883","tRNA:Ile-AAT-1-5","transfer RNA:Isoleucine-AAT 1-5","tRNA","2R",13431285,13431358
"FBgn0011884","tRNA:Ile-AAT-1-6","transfer RNA:Isoleucine-AAT 1-6","tRNA","2R",13431777,13431850
"FBgn0011885","tRNA:Ile-AAT-1-7","transfer RNA:Isoleucine-AAT 1-7","tRNA","2R",13432093,13432166
"FBgn0036567","CG13074","","protein_coding","3L",16095768,16097493
"FBgn0011887","tRNA:Lys-CTT-1-4","transfer RNA:Lysine-CTT 1-4","tRNA","2R",6165984,6166056
"FBgn0031412","CG16995","","protein_coding","2L",2307948,2308872
"FBgn0003048","pcx","pecanex","protein_coding","X",2225296,2238045
"FBgn0003511","Sry-beta","Serendipity beta","protein_coding","3R",30039719,30043071
"FBgn0003510","Sry-alpha","Serendipity alpha","protein_coding","3R",30039719,30043071
"FBgn0003513","ss","spineless","protein_coding","3R",16374434,16403690
"FBgn0003512","Sry-delta","Serendipity delta","protein_coding","3R",30043341,30044886
"FBgn0003515","st","scarlet","protein_coding","3L",16497651,16500460
"FBgn0003514","sqh","spaghetti squash","protein_coding","X",6223061,6225140
"FBgn0003041","pbl","pebble","protein_coding","3L",7896109,7911954
"FBgn0042627","FASN2","Fatty acid synthase 2","protein_coding","2L",3043947,3056143
"FBgn0042198","CG16741","","protein_coding","2R",20347041,20347589
"FBgn0042199","CG13713","","protein_coding","3L",4697601,4698058
"FBgn0053465","CG33465","","protein_coding","2R",15819114,15821114
"FBgn0035299","CG11815","","protein_coding","3L",1970191,1971200
"FBgn0053467","CG33467","","protein_coding","2R",15055503,15056241
"FBgn0053460","CG33460","","protein_coding","2R",15694092,15695232
"FBgn0053461","CG33461","","protein_coding","2R",15695386,15696478
"FBgn0046756","asRNA:CR33945","antisense RNA:CR33945","ncRNA","3R",31767973,31769423
"FBgn0053463","CG33463","","protein_coding","2R",15895829,15896563
"FBgn0035293","CG5687","","protein_coding","3L",1933633,1939103
"FBgn0267554","asRNA:CR45894","antisense RNA:CR45894","ncRNA","3L",16353498,16353916
"FBgn0035290","dsb","debris buster","protein_coding","3L",1893408,1910197
"FBgn0053468","CG33468","","protein_coding","2R",14606307,14606980
"FBgn0053469","CG33469","","protein_coding","2R",14605652,14606302
"FBgn0035295","Cnb","Centrobin","protein_coding","3L",1947565,1950262
"FBgn0035294","Mfap1","Microfibril-associated protein 1","protein_coding","3L",1941068,1942872
"FBgn0263087","CG43355","","protein_coding","2L",11484707,11486949
"FBgn0263086","CG43354","","protein_coding","2L",18309187,18309446
"FBgn0263085","lncRNA:CR43353","long non-coding RNA:CR43353","ncRNA","2L",18308088,18308684
"FBgn0032228","CtsL4","Cathepsin L4","protein_coding","2L",10354743,10356597
"FBgn0263083","CG43351","","protein_coding","2R",19030009,19030250
"FBgn0263082","CG43350","","protein_coding","2L",9349546,9349963
"FBgn0263081","CG43349","","protein_coding","2L",1200205,1200663
"FBgn0052598","betaNACtes6","Nascent-associated complex beta-subunit-like, testis 6","protein_coding","X",14316130,14317150
"FBgn0035204","Nt5a","5' nucleotidase A","protein_coding","3L",1304850,1307418
"FBgn0052594","be","ben","protein_coding","X",15024436,15042060
"FBgn0052591","CG32591","","protein_coding","X",14927202,14928944
"FBgn0052590","CG32590","","protein_coding","X",14838352,14839106
"FBgn0039092","CG16723","","protein_coding","3R",23593625,23596273
"FBgn0035206","sturkopf","sturkopf","protein_coding","3L",1311719,1313377
"FBgn0039417","CG6073","","protein_coding","3R",26187018,26188807
"FBgn0261020","wol","wollknaeuel","protein_coding","2L",8301345,8302985
"FBgn0039943","CG17168","","protein_coding","X",23082738,23084576
"FBgn0032222","Cox10","Cytochrome c oxidase assembly factor 10","protein_coding","2L",10331471,10333129
"FBgn0039941","CG17167","","protein_coding","X",23068301,23081144
"FBgn0263559","mir-2535b","mir-2535b stem loop","ncRNA","X",21298275,21298345
"FBgn0030341","p24-1","p24-related-1","protein_coding","X",11850909,11852530
"FBgn0036035","CG18178","","protein_coding","3L",9717786,9719144
"FBgn0263551","mir-4939","mir-4939 stem loop","ncRNA","2R",22985211,22985319
"FBgn0038404","CG8925","","protein_coding","3R",16171991,16180475
"FBgn0263553","mir-4913","mir-4913 stem loop","ncRNA","3L",8354184,8354241
"FBgn0263552","mir-4961","mir-4961 stem loop","ncRNA","X",1373623,1373755
"FBgn0038401","CG5916","","protein_coding","3R",16147029,16149636
"FBgn0035120","wac","wee Augmin","protein_coding","3L",258176,259097
"FBgn0263557","mir-4967","mir-4967 stem loop","ncRNA","2R",10012093,10012199
"FBgn0263556","mir-4940","mir-4940 stem loop","ncRNA","3L",9144593,9144697
"FBgn0039945","CG17159","","protein_coding","X",23084960,23092631
"FBgn0032224","Sps2","Selenophosphate synthetase 2","protein_coding","2L",10342594,10344223
"FBgn0004430","LysS","Lysozyme S","protein_coding","3L",1227747,1228238
"FBgn0029502","Coq7","Coenzyme Q7","protein_coding","X",6771225,6773039
"FBgn0266691","lncRNA:CR45181","long non-coding RNA:CR45181","ncRNA","3L",27135424,27136049
"FBgn0029726","CG15471","","protein_coding","X",4782201,4782789
"FBgn0036442","CG13473","","protein_coding","3L",14728760,14729343
"FBgn0266692","asRNA:CR45182","antisense RNA:CR45182","ncRNA","3L",25843821,25844502
"FBgn0266694","lncRNA:CR45184","long non-coding RNA:CR45184","ncRNA","3L",826720,830190
"FBgn0266697","lncRNA:CR45187","long non-coding RNA:CR45187","ncRNA","3R",4402429,4402928
"FBgn0266696","Svil","Supervillin","protein_coding","3L",2377655,2499226
"FBgn0060291","snoRNA:U49:66Db","snoRNA:U49:66Db","snoRNA","3L",8601948,8602031
"FBgn0266698","lncRNA:CR45188","long non-coding RNA:CR45188","ncRNA","3R",4946078,4947278
"FBgn0031970","CG7227","","protein_coding","2L",7994388,7998151
"FBgn0060292","snoRNA:U49:66Da","snoRNA:U49:66Da","snoRNA","3L",8601473,8601552
"FBgn0031976","CG7367","","protein_coding","2L",8026914,8039788
"FBgn0031977","baf","barrier to autointegration factor","protein_coding","2L",8029462,8030565
"FBgn0031974","CG12560","","protein_coding","2L",8008302,8009477
"FBgn0060296","pain","painless","protein_coding","2R",24921505,24928275
"FBgn0034184","CG9646","","protein_coding","2R",17048875,17053855
"FBgn0034186","CG8950","","protein_coding","2R",17059331,17062634
"FBgn0038749","Xport-A","exit protein of rhodopsin and TRP A","protein_coding","3R",19914396,19915412
"FBgn0034180","Ehbp1","Eps15 homology domain containing protein-binding protein 1","protein_coding","2R",17007674,17015894
"FBgn0034181","Paip1","Poly(A) binding protein interacting protein 1","protein_coding","2R",17016226,17019522
"FBgn0034182","SmydA-7","SET and MYND domain containing, arthropod-specific, member 7","protein_coding","2R",17044743,17046768
"FBgn0034183","SmydA-6","SET and MYND domain containing, arthropod-specific, member 6","protein_coding","2R",17046839,17048794
"FBgn0038742","Arc42","Activator-recruited cofactor subunit 42","protein_coding","3R",19877737,19879309
"FBgn0029722","CG7024","","protein_coding","X",4705309,4707504
"FBgn0038740","Mrp5","Multidrug resistance protein 5","protein_coding","3R",19865417,19875678
"FBgn0038741","CG17186","","protein_coding","3R",19875974,19877514
"FBgn0038746","Surf6","Surfeit 6","protein_coding","3R",19903665,19904868
"FBgn0038747","RhoGAP92B","Rho GTPase activating protein at 92B","protein_coding","3R",19905164,19914272
"FBgn0038744","CG4733","","protein_coding","3R",19890689,19898738
"FBgn0267020","lncRNA:CR45464","long non-coding RNA:CR45464","ncRNA","X",22806501,22807399
"FBgn0032615","CG6012","","protein_coding","2L",16860029,16861489
"FBgn0266101","CG44838","","protein_coding","3L",9461050,9475475
"FBgn0031512","CG15404","","protein_coding","2L",3173972,3174504
"FBgn0031737","obst-E","obstructor-E","protein_coding","2L",5762553,5766142
"FBgn0029720","CG3009","","protein_coding","X",4658158,4666700
"FBgn0030519","CG11151","","protein_coding","X",13739744,13741952
"FBgn0266100","CG44837","","protein_coding","3L",11850645,11938872
"FBgn0052333","CG32333","","protein_coding","3L",1275956,1295699
"FBgn0263386","CG43438","","protein_coding","2L",11536145,11536844
"FBgn0030514","Mrgn1","Mahogunin ring finger 1","protein_coding","X",13718734,13721977
"FBgn0030512","Nadsyn","NAD synthetase","protein_coding","X",13684380,13718285
"FBgn0030511","CG11158","","protein_coding","X",13682952,13684616
"FBgn0030510","CG12177","","protein_coding","X",13677899,13680500
"FBgn0036964","FRG1","FSHD region gene 1","protein_coding","3L",20295802,20296971
"FBgn0036967","SCCRO4","Squamous cell carcinoma-related oncogene 4","protein_coding","3L",20299410,20309511
"FBgn0000964","tj","traffic jam","protein_coding","2L",19464267,19467758
"FBgn0036962","CG17122","","protein_coding","3L",20273389,20275335
"FBgn0033431","CG1827","","protein_coding","2R",9589050,9590443
"FBgn0036969","Spn77Bb","Serpin 77Bb","protein_coding","3L",20320952,20322358
"FBgn0036440","CG17177","","protein_coding","3L",14697313,14701678
"FBgn0267553","lncRNA:CR45893","long non-coding RNA:CR45893","ncRNA","3L",16343189,16345241
"FBgn0031608","CG15435","","protein_coding","2L",4459729,4461746
"FBgn0031609","CG15443","","protein_coding","2L",4461657,4463447
"FBgn0050287","CG30287","","protein_coding","2R",21536894,21538015
NA,NA,NA,NA,NA,NA,NA
"FBgn0034988","cN-IIIB","cytosolic 5'-nucleotidase IIIB","protein_coding","2R",24195498,24197027
"FBgn0034989","CG3356","","protein_coding","2R",24197824,24202187
"FBgn0010228","HmgZ","HMG protein Z","protein_coding","2R",21697488,21707861
"FBgn0040107","lectin-21Ca","lectin-21Ca","protein_coding","2L",624617,625556
"FBgn0010226","GstS1","Glutathione S transferase S1","protein_coding","2R",17093246,17099501
"FBgn0010225","Gel","Gelsolin","protein_coding","3R",4235217,4241057
"FBgn0040104","lectin-24A","lectin-24A","protein_coding","2L",3716800,3717773
"FBgn0034232","CG4866","","protein_coding","2R",17518223,17519027
"FBgn0010222","Nmdmc","NAD-dependent methylenetetrahydrofolate dehydrogenase","protein_coding","3R",9042508,9050555
"FBgn0034982","Naa35","N(alpha)-acetyltransferase 35","protein_coding","2R",24135180,24138050
"FBgn0015300","Ssl","Suppressor of Stellate-like","protein_coding","2R",24499243,24500267
"FBgn0265632","CG44439","","protein_coding","2R",8249096,8249595
"FBgn0044508","snoRNA:M","snoRNA:M","snoRNA","X",1482492,1482590
"FBgn0265633","lncRNA:CR44440","long non-coding RNA:CR44440","ncRNA","4",44774,46074
"FBgn0029501","Crtp","Caldesmon-related protein","protein_coding","2R",24494518,24497024
"FBgn0267552","asRNA:CR45892","antisense RNA:CR45892","ncRNA","3L",12132455,12133605
"FBgn0265631","CG44438","","protein_coding","2R",5879196,5880395
"FBgn0037899","RpL24-like","Ribosomal protein L24-like","protein_coding","3R",11430740,11431582
"FBgn0037754","CG8500","","protein_coding","3R",9784653,9789323
"FBgn0265252","asRNA:CR44266","antisense RNA:CR44266","ncRNA","X",11570455,11571358
"FBgn0265253","asRNA:CR44267","antisense RNA:CR44267","ncRNA","3R",24912995,24913685
"FBgn0265254","lncRNA:CR44268","long non-coding RNA:CR44268","ncRNA","2L",23173073,23173465
"FBgn0265255","lncRNA:CR44269","long non-coding RNA:CR44269","ncRNA","2L",21798043,21799112
"FBgn0037911","CG10898","","protein_coding","3R",11557776,11559877
"FBgn0265257","CG44271","","protein_coding","2L",6747421,6747914
"FBgn0085771","28SrRNA-Psi:CR40741","28S ribosomal RNA pseudogene:CR40741","pseudogene","X",23239718,23240975
"FBgn0037756","CG8507","","protein_coding","3R",9791483,9793098
"FBgn0037757","CG8516","","protein_coding","3R",9793295,9797754
"FBgn0031515","CG9664","","protein_coding","2L",3291245,3294706
"FBgn0262029","dachs","dachs","protein_coding","2L",8466817,8488671
"FBgn0033661","CG13185","","protein_coding","2R",11867876,11885585
"FBgn0051739","AspRS-m","Aspartyl-tRNA synthetase, mitochondrial","protein_coding","2L",16827078,16832093
"FBgn0051730","CG31730","","protein_coding","2L",13259064,13259743
"FBgn0051735","CG31735","","protein_coding","2L",15895454,15897071
"FBgn0051224","CG31224","","protein_coding","3R",18650121,18659309
"FBgn0051225","Ir94f","Ionotropic receptor 94f","protein_coding","3R",23481865,23483541
"FBgn0051226","CG31226","","protein_coding","3R",18851305,18851798
"FBgn0040751","CG13018","","protein_coding","2R",14157050,14157488
"FBgn0051220","CG31220","","protein_coding","3R",19648487,19650586
"FBgn0051221","CG31221","","protein_coding","3R",19412689,19460311
"FBgn0043900","pygo","pygopus","protein_coding","3R",31575835,31580699
"FBgn0051223","CG31223","","protein_coding","3R",20831127,20832455
"FBgn0037181","CG11370","","protein_coding","3L",22712155,22713660
"FBgn0037180","CG14452","","protein_coding","3L",22695953,22696435
"FBgn0039868","CG11563","","protein_coding","3R",31737035,31737999
"FBgn0037182","ArfGAP3","ADP-ribosylation factor GTPase activating protein 3","protein_coding","3L",22714313,22717577
"FBgn0037185","CG11367","","protein_coding","3L",22728111,22733446
"FBgn0051229","CG31229","","protein_coding","3R",18667852,18669083
"FBgn0026570","CG5704","","protein_coding","3L",2169553,2170971
"FBgn0037186","CG11241","","protein_coding","3L",22732013,22738420
"FBgn0260855","Sec22","Secretory 22","protein_coding","X",806076,808200
"FBgn0260857","Bet1","Blocked early in transport 1","protein_coding","3L",19261394,19262437
"FBgn0260856","Membrin","Membrin","protein_coding","3L",5366455,5367381
"FBgn0000346","comt","comatose","protein_coding","X",13259021,13262488
"FBgn0260859","Bet3","Blocked early in transport 3","protein_coding","3L",9438482,9442267
"FBgn0260858","Ykt6","YKT6 v-SNARE","protein_coding","X",7920409,7921966
"FBgn0039439","TwdlK","TweedleK","protein_coding","3R",26627885,26628724
"FBgn0039438","TwdlO","TweedleO","protein_coding","3R",26625932,26626738
"FBgn0085512","RYa","RYamide","protein_coding","2R",3647346,3647765
"FBgn0032612","CG13282","","protein_coding","2L",16832065,16834502
"FBgn0039431","plum","plum","protein_coding","3R",26470078,26535217
"FBgn0039430","CG5455","","protein_coding","3R",26461527,26470008
"FBgn0039437","TwdlL","TweedleL","protein_coding","3R",26624587,26625652
"FBgn0039436","TwdlB","TweedleB","protein_coding","3R",26622451,26623543
"FBgn0039435","TwdlP","TweedleP","protein_coding","3R",26620608,26621364
"FBgn0039434","TwdlM","TweedleM","protein_coding","3R",26619118,26620224
